Time,x_d,y_d,theta_d,v_d,delta_
9.738645,2.889583,3,3.141593,1,-0
9.788845,2.838889,3,3.141593,1,-0
9.839044,2.788194,3,3.141593,1,-0
9.889243,2.7375,3,3.141593,1,-0
9.939442,2.686806,3,3.141593,1,-0
9.989641,2.636111,3,3.141593,1,-0
10.039841,2.585417,3,3.141593,1,-0
10.09004,2.534722,3,3.141593,1,-0
10.140239,2.484028,3,3.141593,1,-0
10.190438,2.433333,3,3.141593,1,-0
10.240637,2.382639,3,3.141593,1,-0
10.290837,2.331944,3,3.141593,1,-0
10.341036,2.28125,3,3.141593,1,-0
10.391235,2.230556,3,3.141593,1,-0
10.441434,2.179861,3,3.141593,1,-0
10.491633,2.129167,3,3.141593,1,-0
10.541833,2.078472,3,3.141593,1,-0
10.592032,2.027778,3,3.141593,1,-0
10.642231,1.977083,3,3.141593,1,-0
10.69243,1.926389,3,3.141593,1,-0
10.742629,1.875694,3,3.141593,1,-0
10.792829,1.825,3,3.141593,1,-0
10.843028,1.774306,3,3.141593,1,-0
10.893227,1.723611,3,3.141593,1,-0
10.943426,1.672917,3,3.141593,1,-0
10.993625,1.622222,3,3.141593,1,-0
11.043825,1.571528,3,3.141593,1,-0
11.094024,1.520833,3,3.141593,1,-0
11.144223,1.470139,3,3.141593,1,-0
11.194422,1.419444,3,3.141593,1,-0
11.244622,1.36875,3,3.141593,1,-0
11.294821,1.318056,3,3.141593,1,-0
11.34502,1.267361,3,3.141593,1,-0
11.395219,1.216667,3,3.141593,1,-0
11.445418,1.165972,3,3.141593,1,-0
11.495618,1.115278,3,3.141593,1,-0
11.545817,1.064583,3,3.141593,1,-0
11.596016,1.013889,3,3.141593,1,-0
11.646215,0.963194,3,3.141593,1,-0
11.696414,0.9125,3,3.141593,1,-0
11.746614,0.861806,3,3.141593,1,-0
11.796813,0.811111,3,3.141593,1,-0
11.847012,0.760417,3,3.141593,1,-0
11.897211,0.709722,3,3.141593,1,-0
11.94741,0.659028,3,3.141593,1,-0
11.99761,0.608333,3,3.141593,1,-0
12.047809,0.557639,3,3.141593,1,-0
12.098008,0.506944,3,3.141593,1,-0
12.148207,0.45625,3,3.141593,1,-0
12.198406,0.405556,3,3.141593,1,-0
12.248606,0.354861,3,3.141593,1,-0
12.298805,0.304167,3,3.141593,1,-0
12.349004,0.253472,3,3.141593,1,-0
12.399203,0.202778,3,3.141593,1,-0
12.449402,0.152083,3,3.141593,1,-0
12.499602,0.101389,3,3.141593,1,-0
12.549801,0.050694,3,3.141593,1,-0
12.6,0,3,3.141593,1,-0
