Time,x_d,y_d,theta_d,v_,delta_
7.3060884,2.4979385,-1.3934061,-1.5122416,0.3747976,-0.2486734
7.3561301,2.4988652,-1.4116029,-1.5275599,0.3762363,-0.2454313
7.4061718,2.4995173,-1.4298983,-1.5427372,0.3777436,-0.242082
7.4562135,2.4998949,-1.4482918,-1.5577682,0.3793193,-0.2386346
7.5062552,2.4999979,-1.4667828,-1.5726479,0.3809631,-0.2350984
7.5562969,2.4998262,-1.4853708,-1.5873717,0.3826746,-0.2314824
7.6063386,2.49938,-1.5040553,-1.6019354,0.3844534,-0.2277957
7.6563803,2.4986592,-1.5228359,-1.6163351,0.386299,-0.2240472
7.706422,2.497664,-1.5417119,-1.6305671,0.3882106,-0.2202457
7.7564637,2.4963944,-1.5606829,-1.6446283,0.3901876,-0.2163996
7.8065054,2.4948506,-1.5797483,-1.6585158,0.3922293,-0.2125173
7.8565471,2.4930328,-1.5989077,-1.672227,0.3943347,-0.2086068
7.9065888,2.4909411,-1.6181604,-1.6857597,0.3965029,-0.2046758
7.9566305,2.4885758,-1.637506,-1.6991119,0.3987329,-0.2007319
8.0066722,2.4859371,-1.656944,-1.7122819,0.4010237,-0.1967821
8.0567139,2.4830254,-1.6764738,-1.7252686,0.4033741,-0.192833
8.1067556,2.4798409,-1.6960948,-1.7380707,0.4057828,-0.1888912
8.1567973,2.4763841,-1.7158066,-1.7506875,0.4082487,-0.1849626
8.206839,2.4726552,-1.7356085,-1.7631184,0.4107704,-0.1810528
8.2568807,2.4686547,-1.7555001,-1.7753631,0.4133464,-0.1771671
8.3069224,2.464383,-1.7754808,-1.7874216,0.4159755,-0.1733103
8.3569641,2.4598407,-1.7955501,-1.799294,0.4186562,-0.1694871
8.4070058,2.4550281,-1.8157073,-1.8109806,0.4213869,-0.1657014
8.4570475,2.4499459,-1.835952,-1.8224819,0.4241661,-0.1619571
8.5070892,2.4445946,-1.8562836,-1.8337988,0.4269923,-0.1582576
8.5571309,2.4389747,-1.8767015,-1.844932,0.4298639,-0.1546061
8.6071726,2.4330869,-1.8972052,-1.8558826,0.4327793,-0.1510052
8.6572143,2.4269319,-1.9177941,-1.8666518,0.4357368,-0.1474574
8.707256,2.4205103,-1.9384676,-1.8772409,0.4387349,-0.1439649
8.7572977,2.4138228,-1.9592252,-1.8876513,0.4417719,-0.1405296
8.8073394,2.4068701,-1.9800663,-1.8978846,0.4448461,-0.1371529
8.8573812,2.3996531,-2.0009904,-1.9079424,0.447956,-0.1338364
